OBJECTID,Comuna,codigo,Shape,Shape_Area,Shape_Length,Año,índice (Valor)
18,San Cristóbal,60,"(4708034.050193128, 2253812.2220230075)",54112792242404780,5116261742571545,2017,1742
13,San Javier,13,"(4710446.833375132, 2250061.46529047)",4849278874958561,2638422054676626,2017,1345
17,San Sebastián de Palmitas,50,"(4702567.6733262185, 2257955.7318096347)",5779920250778169,3839921195236707,2017,1713
2,Santa Cruz,2,"(4717471.901360827, 2254648.3111255593)",2195662601386407,8597294373605435,2017,2511
21,Santa Elena,90,"(4721626.544324636, 2247611.5894908938)",7411415289082207,6652705396435653,2017,2107
8,Villa Hermosa,8,"(4718584.283001129, 2249006.5964515195)",5716967861815598,16392858844819500,2017,2028
19,Altavista,70,"(4708517.330020405, 2246822.6598185324)",2872578328352506,3501258288575261,2016,1584
4,Aranjuez,4,"(4716680.291627194, 2252195.0294205956)",4883314087520373,9642676543479752,2016,1586
16,Belén,16,"(4712464.646424875, 2246614.0744316597)",8856232001394011,25695016634207840,2016,602
9,Buenos Aires,9,"(4717615.2868070705, 2247244.7482453715)",6052668286001971,1836490299510415,2016,978
5,Castilla,5,"(4715903.412076725, 2253981.9996353034)",6063915514971976,1609803210800692,2016,49
6,Doce de Octubre,6,"(4714743.451115304, 2254761.3938639592)",38498120727601980,10709846407300310,2016,1095
14,El Poblado,14,"(4716105.141389329, 2243895.5048197634)",1441432282772217,19965687059117800,2016,148
15,Guayabal,15,"(4713893.91312301, 2245262.804141909)",7288420726785111,13279243204644290,2016,110
12,La América,12,"(4711800.387879477, 2249823.2178688487)",39733069584038740,15425495027124890,2016,298
10,La Candelaria,10,"(4715944.532195215, 2249048.1243153503)",7360811029417884,13632701394923220,2016,754
11,Laureles Estadio,11,"(4713343.505881916, 2249368.142262306)",7402669301326557,16365175496146,2016,296
3,Manrique,3,"(4718479.607630689, 2251852.4937053234)",5096182230156728,120775591324662,2016,1795
1,Popular,1,"(4718611.922461629, 2254112.982707406)",3097940950849382,9604448561523164,2016,2346
7,Robledo,7,"(4713275.71134015, 2252410.4420975056)",9462007704047674,23265233431348750,2016,1007
20,San Antonio de Prado,80,"(4704270.352085299, 2245613.063627898)",6056777168704203,4047228393637327,2016,1007
18,San Cristóbal,60,"(4708034.050193128, 2253812.2220230075)",54112792242404780,5116261742571545,2016,1613
13,San Javier,13,"(4710446.833375132, 2250061.46529047)",4849278874958561,2638422054676626,2016,1594
17,San Sebastián de Palmitas,50,"(4702567.6733262185, 2257955.7318096347)",5779920250778169,3839921195236707,2016,2134
2,Santa Cruz,2,"(4717471.901360827, 2254648.3111255593)",2195662601386407,8597294373605435,2016,2305
21,Santa Elena,90,"(4721626.544324636, 2247611.5894908938)",7411415289082207,6652705396435653,2016,254
8,Villa Hermosa,8,"(4718584.283001129, 2249006.5964515195)",5716967861815598,16392858844819500,2016,2192
19,Altavista,70,"(4708517.330020405, 2246822.6598185324)",2872578328352506,3501258288575261,2015,2498
4,Aranjuez,4,"(4716680.291627194, 2252195.0294205956)",4883314087520373,9642676543479752,2015,1616
16,Belén,16,"(4712464.646424875, 2246614.0744316597)",8856232001394011,25695016634207840,2015,47
9,Buenos Aires,9,"(4717615.2868070705, 2247244.7482453715)",6052668286001971,1836490299510415,2015,896
5,Castilla,5,"(4715903.412076725, 2253981.9996353034)",6063915514971976,1609803210800692,2015,972
6,Doce de Octubre,6,"(4714743.451115304, 2254761.3938639592)",38498120727601980,10709846407300310,2015,1846
14,El Poblado,14,"(4716105.141389329, 2243895.5048197634)",1441432282772217,19965687059117800,2015,113
15,Guayabal,15,"(4713893.91312301, 2245262.804141909)",7288420726785111,13279243204644290,2015,118
12,La América,12,"(4711800.387879477, 2249823.2178688487)",39733069584038740,15425495027124890,2015,251
10,La Candelaria,10,"(4715944.532195215, 2249048.1243153503)",7360811029417884,13632701394923220,2015,81
11,Laureles Estadio,11,"(4713343.505881916, 2249368.142262306)",7402669301326557,16365175496146,2015,235
3,Manrique,3,"(4718479.607630689, 2251852.4937053234)",5096182230156728,120775591324662,2015,2084
1,Popular,1,"(4718611.922461629, 2254112.982707406)",3097940950849382,9604448561523164,2015,1419
7,Robledo,7,"(4713275.71134015, 2252410.4420975056)",9462007704047674,23265233431348750,2015,1467
20,San Antonio de Prado,80,"(4704270.352085299, 2245613.063627898)",6056777168704203,4047228393637327,2015,1148
18,San Cristóbal,60,"(4708034.050193128, 2253812.2220230075)",54112792242404780,5116261742571545,2015,1883
13,San Javier,13,"(4710446.833375132, 2250061.46529047)",4849278874958561,2638422054676626,2015,1815
17,San Sebastián de Palmitas,50,"(4702567.6733262185, 2257955.7318096347)",5779920250778169,3839921195236707,2015,3996
2,Santa Cruz,2,"(4717471.901360827, 2254648.3111255593)",2195662601386407,8597294373605435,2015,1792
21,Santa Elena,90,"(4721626.544324636, 2247611.5894908938)",7411415289082207,6652705396435653,2015,2383
