OBJECTID,Comuna,Shape,Shape_Area,Shape_Length,Año,Población Proyectada
11,Laureles Estadio,"(4713343.505862651, 2249368.1422557477)",7402669306983,16365175401920810,2019,100749
11,Laureles Estadio,"(4713343.505862651, 2249368.1422557477)",7402669306983,16365175401920810,2020,101316
11,Laureles Estadio,"(4713343.505862651, 2249368.1422557477)",7402669306983,16365175401920810,2021,101473
11,Laureles Estadio,"(4713343.505862651, 2249368.1422557477)",7402669306983,16365175401920810,2022,101632
11,Laureles Estadio,"(4713343.505862651, 2249368.1422557477)",7402669306983,16365175401920810,2023,101796
11,Laureles Estadio,"(4713343.505862651, 2249368.1422557477)",7402669306983,16365175401920810,2024,101396
11,Laureles Estadio,"(4713343.505862651, 2249368.1422557477)",7402669306983,16365175401920810,2025,101487
11,Laureles Estadio,"(4713343.505862651, 2249368.1422557477)",7402669306983,16365175401920810,2026,101456
11,Laureles Estadio,"(4713343.505862651, 2249368.1422557477)",7402669306983,16365175401920810,2027,101296
11,Laureles Estadio,"(4713343.505862651, 2249368.1422557477)",7402669306983,16365175401920810,2028,101045
11,Laureles Estadio,"(4713343.505862651, 2249368.1422557477)",7402669306983,16365175401920810,2029,100710
11,Laureles Estadio,"(4713343.505862651, 2249368.1422557477)",7402669306983,16365175401920810,2030,100257
12,La América,"(4711800.387881924, 2249823.217872609)",39733068918085580,15425496036223580,2018,85416
12,La América,"(4711800.387881924, 2249823.217872609)",39733068918085580,15425496036223580,2019,86403
12,La América,"(4711800.387881924, 2249823.217872609)",39733068918085580,15425496036223580,2020,87128
12,La América,"(4711800.387881924, 2249823.217872609)",39733068918085580,15425496036223580,2021,87489
12,La América,"(4711800.387881924, 2249823.217872609)",39733068918085580,15425496036223580,2022,87849
12,La América,"(4711800.387881924, 2249823.217872609)",39733068918085580,15425496036223580,2023,88207
12,La América,"(4711800.387881924, 2249823.217872609)",39733068918085580,15425496036223580,2024,88382
12,La América,"(4711800.387881924, 2249823.217872609)",39733068918085580,15425496036223580,2025,88714
12,La América,"(4711800.387881924, 2249823.217872609)",39733068918085580,15425496036223580,2026,88925
12,La América,"(4711800.387881924, 2249823.217872609)",39733068918085580,15425496036223580,2027,89020
12,La América,"(4711800.387881924, 2249823.217872609)",39733068918085580,15425496036223580,2028,89028
