OBJECTID,Comuna,Shape,codigo,Shape_Area,Shape_Length,Año,Valor
10,La Candelaria,"(4715944.532195215, 2249048.1243153503)",10,7360811029417884,13632701394923220,2017,73
10,La Candelaria,"(4715944.532195215, 2249048.1243153503)",10,7360811029417884,13632701394923220,2018,76
10,La Candelaria,"(4715944.532195215, 2249048.1243153503)",10,7360811029417884,13632701394923220,2019,78
10,La Candelaria,"(4715944.532195215, 2249048.1243153503)",10,7360811029417884,13632701394923220,2020,63
10,La Candelaria,"(4715944.532195215, 2249048.1243153503)",10,7360811029417884,13632701394923220,2021,73
11,Laureles Estadio,"(4713343.505881916, 2249368.142262306)",11,7402669301326557,16365175496146,2014,83
11,Laureles Estadio,"(4713343.505881916, 2249368.142262306)",11,7402669301326557,16365175496146,2015,84
11,Laureles Estadio,"(4713343.505881916, 2249368.142262306)",11,7402669301326557,16365175496146,2016,84
11,Laureles Estadio,"(4713343.505881916, 2249368.142262306)",11,7402669301326557,16365175496146,2017,84
11,Laureles Estadio,"(4713343.505881916, 2249368.142262306)",11,7402669301326557,16365175496146,2018,91
11,Laureles Estadio,"(4713343.505881916, 2249368.142262306)",11,7402669301326557,16365175496146,2019,91
11,Laureles Estadio,"(4713343.505881916, 2249368.142262306)",11,7402669301326557,16365175496146,2020,72
11,Laureles Estadio,"(4713343.505881916, 2249368.142262306)",11,7402669301326557,16365175496146,2021,81
12,La América,"(4711800.387879477, 2249823.2178688487)",12,39733069584038740,15425495027124890,2014,79
12,La América,"(4711800.387879477, 2249823.2178688487)",12,39733069584038740,15425495027124890,2015,77
12,La América,"(4711800.387879477, 2249823.2178688487)",12,39733069584038740,15425495027124890,2016,76
12,La América,"(4711800.387879477, 2249823.2178688487)",12,39733069584038740,15425495027124890,2017,8
12,La América,"(4711800.387879477, 2249823.2178688487)",12,39733069584038740,15425495027124890,2018,83
12,La América,"(4711800.387879477, 2249823.2178688487)",12,39733069584038740,15425495027124890,2019,84
12,La América,"(4711800.387879477, 2249823.2178688487)",12,39733069584038740,15425495027124890,2020,69
12,La América,"(4711800.387879477, 2249823.2178688487)",12,39733069584038740,15425495027124890,2021,8
13,San Javier,"(4710446.833375132, 2250061.46529047)",13,4849278874958561,2638422054676626,2014,63
13,San Javier,"(4710446.833375132, 2250061.46529047)",13,4849278874958561,2638422054676626,2015,69
13,San Javier,"(4710446.833375132, 2250061.46529047)",13,4849278874958561,2638422054676626,2016,64
13,San Javier,"(4710446.833375132, 2250061.46529047)",13,4849278874958561,2638422054676626,2017,65
13,San Javier,"(4710446.833375132, 2250061.46529047)",13,4849278874958561,2638422054676626,2018,61
13,San Javier,"(4710446.833375132, 2250061.46529047)",13,4849278874958561,2638422054676626,2019,6
13,San Javier,"(4710446.833375132, 2250061.46529047)",13,4849278874958561,2638422054676626,2020,58
13,San Javier,"(4710446.833375132, 2250061.46529047)",13,4849278874958561,2638422054676626,2021,66
14,El Poblado,"(4716105.141389329, 2243895.5048197634)",14,1441432282772217,19965687059117800,2014,91
14,El Poblado,"(4716105.141389329, 2243895.5048197634)",14,1441432282772217,19965687059117800,2015,92
14,El Poblado,"(4716105.141389329, 2243895.5048197634)",14,1441432282772217,19965687059117800,2016,9
14,El Poblado,"(4716105.141389329, 2243895.5048197634)",14,1441432282772217,19965687059117800,2017,93
14,El Poblado,"(4716105.141389329, 2243895.5048197634)",14,1441432282772217,19965687059117800,2018,10
14,El Poblado,"(4716105.141389329, 2243895.5048197634)",14,1441432282772217,19965687059117800,2019,101
14,El Poblado,"(4716105.141389329, 2243895.5048197634)",14,1441432282772217,19965687059117800,2020,74
14,El Poblado,"(4716105.141389329, 2243895.5048197634)",14,1441432282772217,19965687059117800,2021,87
15,Guayabal,"(4713893.91312301, 2245262.804141909)",15,7288420726785111,13279243204644290,2014,7
15,Guayabal,"(4713893.91312301, 2245262.804141909)",15,7288420726785111,13279243204644290,2015,73
15,Guayabal,"(4713893.91312301, 2245262.804141909)",15,7288420726785111,13279243204644290,2016,7
15,Guayabal,"(4713893.91312301, 2245262.804141909)",15,7288420726785111,13279243204644290,2017,69
15,Guayabal,"(4713893.91312301, 2245262.804141909)",15,7288420726785111,13279243204644290,2018,82
15,Guayabal,"(4713893.91312301, 2245262.804141909)",15,7288420726785111,13279243204644290,2019,83
15,Guayabal,"(4713893.91312301, 2245262.804141909)",15,7288420726785111,13279243204644290,2020,61
15,Guayabal,"(4713893.91312301, 2245262.804141909)",15,7288420726785111,13279243204644290,2021,74
16,Belén,"(4712464.646424875, 2246614.0744316597)",16,8856232001394011,25695016634207840,2014,76
16,Belén,"(4712464.646424875, 2246614.0744316597)",16,8856232001394011,25695016634207840,2015,78
